"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Lutjanus griseus","Grey snapper",1953,32.0438774666,43172.6549069281,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1954,34.0077519818,46154.3641816407,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1955,33.034470575,44998.0605120948,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1956,34.9619098302,47811.5919370189,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1957,33.9521931634,42199.9204634429,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1958,35.8431971584,40903.6799160507,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1959,34.7970452316,40039.4954447014,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1960,35.1921448205,36535.3208076864,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1961,34.9660328295,39628.5226363715,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1962,36.1796455913,42200.4089530942,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1963,36.6416169843,44244.8257918644,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1964,37.0816815817,47097.9258387217,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1965,37.4998393831,48271.6682459676,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1966,37.9016422321,51946.9674989891,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1967,38.2822322657,54347.7538583023,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1968,40.1010786298,56717.6021773789,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1969,38.9797738867,61118.1025870107,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1970,39.2967254741,58341.0189472262,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1971,39.3268240978,64525.447311632,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1972,37.8828995733,71638.3814722298,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1973,37.8765928468,72875.3221690231,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1974,38.7533056428,74597.6331508361,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1975,39.14843431,71940.4939346843,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1976,40.5032046298,62194.4123467967,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1977,42.9240719989,85363.5741488869,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1978,41.8931208991,77113.4636083612,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1979,40.6293393087,87946.4710145151,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1980,41.3970506822,91603.4351465707,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1981,40.7476569588,99628.1842549641,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1982,41.8886076732,94497.3897107612,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1983,43.3175081162,97878.2920516115,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1984,41.2461773429,116118.259518434,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1985,41.3407896846,128815.502891289,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1986,42.5604002356,130095.524531094,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1987,43.1021353453,146941.774018682,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1988,42.5689335546,147068.258436601,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1989,41.3363935409,133357.033994296,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1990,41.1537320011,123252.999273156,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1991,40.2570540924,122124.000579854,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1992,39.2584537598,105098.296200512,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1993,38.2467903045,100524.574412102,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1994,37.197500116,100050.41364196,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1995,37.0420267494,91583.5218600875,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1996,39.0681370986,108628.564520963,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1997,34.8188268049,93223.7179742885,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1998,33.6944267216,91640.147520666,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",1999,32.5362606526,89154.0719460868,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2000,29.6838752715,76630.5269427292,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2001,32.5171661386,84710.5020247855,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2002,35.8235617576,86662.8201911352,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2003,38.1873897472,90345.8269703097,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2004,40.1565464014,99477.4833206637,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2005,42.0497739179,104836.351793738,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2006,43.5334254712,112285.459583899,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2007,44.598690988,111533.655186083,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2008,43.616892276,114647.17581479,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2009,46.1118338495,126344.718609845,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2010,49.0159839667,124733.180119068,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2011,51.690928343,154339.228985097,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2012,54.2693839248,108066.104254485,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2013,56.7354541751,192145.533961606,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2014,59.0724911031,211229.581730633,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2015,61.295526563,219540.642598299,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2016,63.2871309369,266554.857186304,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2017,65.1262373781,259920.954726664,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2018,66.7588701157,108594.842248254,"Grey snapper
(Lutjanus griseus)"
"Lutjanus griseus","Grey snapper",2019,67.5300366598,115013.003991094,"Grey snapper
(Lutjanus griseus)"
"Lutjanus jocu","Dog snapper",1950,30.4213555784,43477.9306426567,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1951,30.9804138379,48744.9663912174,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1952,31.5212544672,52611.0053767881,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1953,32.0438774667,53579.2572697762,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1954,34.0077519819,57075.0895596205,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1955,33.0344705751,53549.3211158713,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1956,34.9619098302,58619.2861160991,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1957,33.9521931635,53470.7985078995,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1958,35.8431971584,53230.1188587885,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1959,34.7970452316,51574.7706747123,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1960,35.1921448206,50879.1774563669,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1961,34.9660328295,50514.1652150991,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1962,36.1796455913,53217.5090117489,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1963,36.6416169843,54885.8078554453,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1964,37.0816815816,59476.9406828074,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1965,37.4998393832,51024.4564554063,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1966,37.9016422321,56147.6065075739,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1967,38.2822322657,57220.1080274289,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1968,40.1010786299,60849.8178247914,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1969,38.9797738867,71897.9200756042,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1970,39.2967254741,74939.9164907788,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1971,39.3268240978,80825.9439782786,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1972,37.8828995733,84308.2414687103,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1973,37.8765928468,92469.376044359,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1974,38.7533056427,94228.3138907265,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1975,39.14843431,98258.7335713489,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1976,40.5032046297,94103.3634957824,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1977,42.9240719988,121941.794267491,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1978,41.8931208991,113964.37036921,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1979,40.6293393088,122898.185189621,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1980,41.3970506821,111941.226588015,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1981,40.7476569588,125574.703047725,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1982,41.8886076733,158102.601480251,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1983,43.3175081162,106036.191720128,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1984,41.2461773429,60704.8039356116,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1985,41.3407896845,82937.8095835864,"Dog snapper
(Lutjanus jocu)"
"Lutjanus jocu","Dog snapper",1986,42.5604002356,86915.1469452194,"Dog snapper
(Lutjanus jocu)"
